year,month,ISO3,InterestRate,CPI,name,text_InterestRate,text_CPI
1999,1,ARG,7.59,0.5072515701,Argentina,Argentina<br> 7.59%,Argentina<br> 0.51%
1999,2,ARG,5.62,-0.0028731463,Argentina,Argentina<br> 5.62%,Argentina<br>-0.00%
1999,3,ARG,6.28,-0.6288391903,Argentina,Argentina<br> 6.28%,Argentina<br>-0.63%
1999,4,ARG,5.03,-0.7373536999,Argentina,Argentina<br> 5.03%,Argentina<br>-0.74%
1999,5,ARG,7.46,-1.1546954737,Argentina,Argentina<br> 7.46%,Argentina<br>-1.15%
1999,6,ARG,6.52,-1.3490310195,Argentina,Argentina<br> 6.52%,Argentina<br>-1.35%
1999,7,ARG,5.62,-1.4736090554,Argentina,Argentina<br> 5.62%,Argentina<br>-1.47%
1999,8,ARG,5.72,-1.8643020158,Argentina,Argentina<br> 5.72%,Argentina<br>-1.86%
1999,9,ARG,8.63,-2.0295195402,Argentina,Argentina<br> 8.63%,Argentina<br>-2.03%
1999,10,ARG,8.0,-1.6851656427,Argentina,Argentina<br> 8.00%,Argentina<br>-1.69%
1999,11,ARG,6.81,-1.7626610536,Argentina,Argentina<br> 6.81%,Argentina<br>-1.76%
1999,12,ARG,8.2,-1.8104550728,Argentina,Argentina<br> 8.20%,Argentina<br>-1.81%
2000,1,ARG,7.21,-1.4451253758,Argentina,Argentina<br> 7.21%,Argentina<br>-1.45%
2000,2,ARG,6.12,-1.2825067362,Argentina,Argentina<br> 6.12%,Argentina<br>-1.28%
2000,3,ARG,6.37,-1.0612320184,Argentina,Argentina<br> 6.37%,Argentina<br>-1.06%
2000,4,ARG,6.31,-1.0756022203,Argentina,Argentina<br> 6.31%,Argentina<br>-1.08%
2000,5,ARG,6.82,-0.9725509937,Argentina,Argentina<br> 6.82%,Argentina<br>-0.97%
2000,6,ARG,7.13,-1.1496373749,Argentina,Argentina<br> 7.13%,Argentina<br>-1.15%
2000,7,ARG,6.69,-0.9045072333,Argentina,Argentina<br> 6.69%,Argentina<br>-0.90%
2000,8,ARG,7.81,-0.7440848992,Argentina,Argentina<br> 7.81%,Argentina<br>-0.74%
2000,9,ARG,8.25,-0.6986654248,Argentina,Argentina<br> 8.25%,Argentina<br>-0.70%
2000,10,ARG,9.46,-0.5051521973,Argentina,Argentina<br> 9.46%,Argentina<br>-0.51%
2000,11,ARG,8.41,-0.6803095966,Argentina,Argentina<br> 8.41%,Argentina<br>-0.68%
2000,12,ARG,12.11,-0.7296053204,Argentina,Argentina<br> 12.11%,Argentina<br>-0.73%
2001,1,ARG,6.19,-1.4824697253,Argentina,Argentina<br> 6.19%,Argentina<br>-1.48%
2001,2,ARG,5.63,-1.7109085179,Argentina,Argentina<br> 5.63%,Argentina<br>-1.71%
2001,3,ARG,56.16,-1.0005722452,Argentina,Argentina<br> 56.16%,Argentina<br>-1.00%
2001,4,ARG,11.27,-0.2266239992,Argentina,Argentina<br> 11.27%,Argentina<br>-0.23%
2001,5,ARG,6.06,0.227529326,Argentina,Argentina<br> 6.06%,Argentina<br> 0.23%
2001,6,ARG,8.09,-0.3110753734,Argentina,Argentina<br> 8.09%,Argentina<br>-0.31%
2001,7,ARG,25.19,-1.0668111599,Argentina,Argentina<br> 25.19%,Argentina<br>-1.07%
2001,8,ARG,22.95,-1.2080995777,Argentina,Argentina<br> 22.95%,Argentina<br>-1.21%
2001,9,ARG,5.08,-1.1310715548,Argentina,Argentina<br> 5.08%,Argentina<br>-1.13%
2001,10,ARG,43.04,-1.7433259417,Argentina,Argentina<br> 43.04%,Argentina<br>-1.74%
2001,11,ARG,557.04,-1.581771558,Argentina,Argentina<br> 557.04%,Argentina<br>-1.58%
2001,12,ARG,,-1.5465389419,Argentina,Argentina<br> nan%,Argentina<br>-1.55%
2002,1,ARG,41.81,0.6296831072,Argentina,Argentina<br> 41.81%,Argentina<br> 0.63%
2002,2,ARG,23.64,4.0269005749,Argentina,Argentina<br> 23.64%,Argentina<br> 4.03%
2002,3,ARG,82.46,7.9360106469,Argentina,Argentina<br> 82.46%,Argentina<br> 7.94%
2002,4,ARG,101.6,18.3579321671,Argentina,Argentina<br> 101.60%,Argentina<br> 18.36%
2002,5,ARG,46.87,23.0253480168,Argentina,Argentina<br> 46.87%,Argentina<br> 23.03%
2002,6,ARG,41.83,28.407528539,Argentina,Argentina<br> 41.83%,Argentina<br> 28.41%
2002,7,ARG,76.08,32.9368033519,Argentina,Argentina<br> 76.08%,Argentina<br> 32.94%
2002,8,ARG,37.96,36.5384697135,Argentina,Argentina<br> 37.96%,Argentina<br> 36.54%
2002,9,ARG,23.51,38.4876301216,Argentina,Argentina<br> 23.51%,Argentina<br> 38.49%
2002,10,ARG,9.05,39.4053291594,Argentina,Argentina<br> 9.05%,Argentina<br> 39.41%
2002,11,ARG,6.18,40.5761263239,Argentina,Argentina<br> 6.18%,Argentina<br> 40.58%
2002,12,ARG,6.63,40.946523907,Argentina,Argentina<br> 6.63%,Argentina<br> 40.95%
2003,1,ARG,5.29,39.6053864473,Argentina,Argentina<br> 5.29%,Argentina<br> 39.61%
2003,2,ARG,8.32,36.1207426431,Argentina,Argentina<br> 8.32%,Argentina<br> 36.12%
2003,3,ARG,6.63,31.7057523422,Argentina,Argentina<br> 6.63%,Argentina<br> 31.71%
2003,4,ARG,5.27,19.3768781539,Argentina,Argentina<br> 5.27%,Argentina<br> 19.38%
2003,5,ARG,3.56,14.3334128309,Argentina,Argentina<br> 3.56%,Argentina<br> 14.33%
2003,6,ARG,3.13,10.2424533358,Argentina,Argentina<br> 3.13%,Argentina<br> 10.24%
2003,7,ARG,1.95,7.3102769254,Argentina,Argentina<br> 1.95%,Argentina<br> 7.31%
2003,8,ARG,1.23,4.8801484484,Argentina,Argentina<br> 1.23%,Argentina<br> 4.88%
2003,9,ARG,1.57,3.5233582416,Argentina,Argentina<br> 1.57%,Argentina<br> 3.52%
2003,10,ARG,1.38,3.9064918664,Argentina,Argentina<br> 1.38%,Argentina<br> 3.91%
2003,11,ARG,1.5,3.6351021653,Argentina,Argentina<br> 1.50%,Argentina<br> 3.64%
2003,12,ARG,1.67,3.6610311889,Argentina,Argentina<br> 1.67%,Argentina<br> 3.66%
2004,1,ARG,1.38,2.7413413931,Argentina,Argentina<br> 1.38%,Argentina<br> 2.74%
2004,2,ARG,1.26,2.2658425248,Argentina,Argentina<br> 1.26%,Argentina<br> 2.27%
2004,3,ARG,1.28,2.2755623934,Argentina,Argentina<br> 1.28%,Argentina<br> 2.28%
2004,4,ARG,1.22,3.0961314683,Argentina,Argentina<br> 1.22%,Argentina<br> 3.10%
2004,5,ARG,2.84,4.2492103224,Argentina,Argentina<br> 2.84%,Argentina<br> 4.25%
2004,6,ARG,2.5,4.929129044,Argentina,Argentina<br> 2.50%,Argentina<br> 4.93%
2004,7,ARG,2.5,4.9466790783,Argentina,Argentina<br> 2.50%,Argentina<br> 4.95%
2004,8,ARG,2.5,5.2815161037,Argentina,Argentina<br> 2.50%,Argentina<br> 5.28%
2004,9,ARG,2.5,5.9021296925,Argentina,Argentina<br> 2.50%,Argentina<br> 5.90%
2004,10,ARG,2.5,5.6982124499,Argentina,Argentina<br> 2.50%,Argentina<br> 5.70%
2004,11,ARG,2.5,5.440535343,Argentina,Argentina<br> 2.50%,Argentina<br> 5.44%
2004,12,ARG,2.5,6.096769552,Argentina,Argentina<br> 2.50%,Argentina<br> 6.10%
2005,1,ARG,2.75,7.222510582,Argentina,Argentina<br> 2.75%,Argentina<br> 7.22%
2005,2,ARG,2.75,8.1280043469,Argentina,Argentina<br> 2.75%,Argentina<br> 8.13%
2005,3,ARG,2.75,9.1518015958,Argentina,Argentina<br> 2.75%,Argentina<br> 9.15%
2005,4,ARG,3.25,8.7539087019,Argentina,Argentina<br> 3.25%,Argentina<br> 8.75%
2005,5,ARG,3.75,8.613664266,Argentina,Argentina<br> 3.75%,Argentina<br> 8.61%
2005,6,ARG,4.25,8.9915425381,Argentina,Argentina<br> 4.25%,Argentina<br> 8.99%
2005,7,ARG,4.25,9.5809484468,Argentina,Argentina<br> 4.25%,Argentina<br> 9.58%
2005,8,ARG,4.25,9.6829312994,Argentina,Argentina<br> 4.25%,Argentina<br> 9.68%
2005,9,ARG,4.25,10.2645935548,Argentina,Argentina<br> 4.25%,Argentina<br> 10.26%
2005,10,ARG,4.5,10.688125437,Argentina,Argentina<br> 4.50%,Argentina<br> 10.69%
2005,11,ARG,4.5,12.0209596506,Argentina,Argentina<br> 4.50%,Argentina<br> 12.02%
2005,12,ARG,5.0,12.3289870275,Argentina,Argentina<br> 5.00%,Argentina<br> 12.33%
2006,1,ARG,5.0,12.096522364,Argentina,Argentina<br> 5.00%,Argentina<br> 12.10%
2006,2,ARG,5.0,11.4861944129,Argentina,Argentina<br> 5.00%,Argentina<br> 11.49%
2006,3,ARG,5.0,11.1124709501,Argentina,Argentina<br> 5.00%,Argentina<br> 11.11%
2006,4,ARG,5.0,11.6456118474,Argentina,Argentina<br> 5.00%,Argentina<br> 11.65%
2006,5,ARG,5.5,11.4983018553,Argentina,Argentina<br> 5.50%,Argentina<br> 11.50%
2006,6,ARG,5.75,11.0214145913,Argentina,Argentina<br> 5.75%,Argentina<br> 11.02%
2006,7,ARG,5.75,10.59594014,Argentina,Argentina<br> 5.75%,Argentina<br> 10.60%
2006,8,ARG,5.75,10.7343006098,Argentina,Argentina<br> 5.75%,Argentina<br> 10.73%
2006,9,ARG,5.75,10.4457206749,Argentina,Argentina<br> 5.75%,Argentina<br> 10.45%
2006,10,ARG,6.0,10.5273641876,Argentina,Argentina<br> 6.00%,Argentina<br> 10.53%
2006,11,ARG,6.25,9.9826971731,Argentina,Argentina<br> 6.25%,Argentina<br> 9.98%
2006,12,ARG,6.25,9.8390284047,Argentina,Argentina<br> 6.25%,Argentina<br> 9.84%
2007,1,ARG,6.5,9.6963452434,Argentina,Argentina<br> 6.50%,Argentina<br> 9.70%
2007,2,ARG,6.75,9.5931225842,Argentina,Argentina<br> 6.75%,Argentina<br> 9.59%
2007,3,ARG,10.4,9.1177815717,Argentina,Argentina<br> 10.40%,Argentina<br> 9.12%
2007,4,ARG,10.31,8.8710796188,Argentina,Argentina<br> 10.31%,Argentina<br> 8.87%
2007,5,ARG,10.33,8.8163025416,Argentina,Argentina<br> 10.33%,Argentina<br> 8.82%
