"Frequency","Reference area","Value","Unit of measure","Breaks","Coverage","Title (tseries level)","Time Period","1927-Q1","1927-Q2","1927-Q3","1927-Q4","1928-Q1","1928-Q2","1928-Q3","1928-Q4","1929-Q1","1929-Q2","1929-Q3","1929-Q4","1930-Q1","1930-Q2","1930-Q3","1930-Q4","1931-Q1","1931-Q2","1931-Q3","1931-Q4","1932-Q1","1932-Q2","1932-Q3","1932-Q4","1933-Q1","1933-Q2","1933-Q3","1933-Q4","1934-Q1","1934-Q2","1934-Q3","1934-Q4","1935-Q1","1935-Q2","1935-Q3","1935-Q4","1936-Q1","1936-Q2","1936-Q3","1936-Q4","1937-Q1","1937-Q2","1937-Q3","1937-Q4","1938-Q1","1938-Q2","1938-Q3","1938-Q4","1939-Q1","1939-Q2","1939-Q3","1939-Q4","1940-Q1","1940-Q2","1940-Q3","1940-Q4","1941-Q1","1941-Q2","1941-Q3","1941-Q4","1942-Q1","1942-Q2","1942-Q3","1942-Q4","1943-Q1","1943-Q2","1943-Q3","1943-Q4","1944-Q1","1944-Q2","1944-Q3","1944-Q4","1945-Q1","1945-Q2","1945-Q3","1945-Q4","1946-Q1","1946-Q2","1946-Q3","1946-Q4","1947-Q1","1947-Q2","1947-Q3","1947-Q4","1948-Q1","1948-Q2","1948-Q3","1948-Q4","1949-Q1","1949-Q2","1949-Q3","1949-Q4","1950-Q1","1950-Q2","1950-Q3","1950-Q4","1951-Q1","1951-Q2","1951-Q3","1951-Q4","1952-Q1","1952-Q2","1952-Q3","1952-Q4","1953-Q1","1953-Q2","1953-Q3","1953-Q4","1954-Q1","1954-Q2","1954-Q3","1954-Q4","1955-Q1","1955-Q2","1955-Q3","1955-Q4","1956-Q1","1956-Q2","1956-Q3","1956-Q4","1957-Q1","1957-Q2","1957-Q3","1957-Q4","1958-Q1","1958-Q2","1958-Q3","1958-Q4","1959-Q1","1959-Q2","1959-Q3","1959-Q4","1960-Q1","1960-Q2","1960-Q3","1960-Q4","1961-Q1","1961-Q2","1961-Q3","1961-Q4","1962-Q1","1962-Q2","1962-Q3","1962-Q4","1963-Q1","1963-Q2","1963-Q3","1963-Q4","1964-Q1","1964-Q2","1964-Q3","1964-Q4","1965-Q1","1965-Q2","1965-Q3","1965-Q4","1966-Q1","1966-Q2","1966-Q3","1966-Q4","1967-Q1","1967-Q2","1967-Q3","1967-Q4","1968-Q1","1968-Q2","1968-Q3","1968-Q4","1969-Q1","1969-Q2","1969-Q3","1969-Q4","1970-Q1","1970-Q2","1970-Q3","1970-Q4","1971-Q1","1971-Q2","1971-Q3","1971-Q4","1972-Q1","1972-Q2","1972-Q3","1972-Q4","1973-Q1","1973-Q2","1973-Q3","1973-Q4","1974-Q1","1974-Q2","1974-Q3","1974-Q4","1975-Q1","1975-Q2","1975-Q3","1975-Q4","1976-Q1","1976-Q2","1976-Q3","1976-Q4","1977-Q1","1977-Q2","1977-Q3","1977-Q4","1978-Q1","1978-Q2","1978-Q3","1978-Q4","1979-Q1","1979-Q2","1979-Q3","1979-Q4","1980-Q1","1980-Q2","1980-Q3","1980-Q4","1981-Q1","1981-Q2","1981-Q3","1981-Q4","1982-Q1","1982-Q2","1982-Q3","1982-Q4","1983-Q1","1983-Q2","1983-Q3","1983-Q4","1984-Q1","1984-Q2","1984-Q3","1984-Q4","1985-Q1","1985-Q2","1985-Q3","1985-Q4","1986-Q1","1986-Q2","1986-Q3","1986-Q4","1987-Q1","1987-Q2","1987-Q3","1987-Q4","1988-Q1","1988-Q2","1988-Q3","1988-Q4","1989-Q1","1989-Q2","1989-Q3","1989-Q4","1990-Q1","1990-Q2","1990-Q3","1990-Q4","1991-Q1","1991-Q2","1991-Q3","1991-Q4","1992-Q1","1992-Q2","1992-Q3","1992-Q4","1993-Q1","1993-Q2","1993-Q3","1993-Q4","1994-Q1","1994-Q2","1994-Q3","1994-Q4","1995-Q1","1995-Q2","1995-Q3","1995-Q4","1996-Q1","1996-Q2","1996-Q3","1996-Q4","1997-Q1","1997-Q2","1997-Q3","1997-Q4","1998-Q1","1998-Q2","1998-Q3","1998-Q4","1999-Q1","1999-Q2","1999-Q3","1999-Q4","2000-Q1","2000-Q2","2000-Q3","2000-Q4","2001-Q1","2001-Q2","2001-Q3","2001-Q4","2002-Q1","2002-Q2","2002-Q3","2002-Q4","2003-Q1","2003-Q2","2003-Q3","2003-Q4","2004-Q1","2004-Q2","2004-Q3","2004-Q4","2005-Q1","2005-Q2","2005-Q3","2005-Q4","2006-Q1","2006-Q2","2006-Q3","2006-Q4","2007-Q1","2007-Q2","2007-Q3","2007-Q4","2008-Q1","2008-Q2","2008-Q3","2008-Q4","2009-Q1","2009-Q2","2009-Q3","2009-Q4","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4"
"Q:Quarterly","4T:Emerging market economies (aggregate)","N:Nominal","628:Index, 2010 = 100",,,,"Q:4T:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.9661","86.8889","89.0372","90.3712","89.9267","89.3014","90.1815","92.0497","94.014","97.0806","99.4765","101.0901","102.3527","103.0119","105.6207","106.7883","108.2123","110.4743","112.3218","113.6871","116.151","118.139","120.5778","123.2417","125.1716","127.342","129.1892","129.4368","129.976","131.2407","132.1557","133.1996","133.9935","135.364","138.0984","139.9376","142.076","143.4048","146.0657","147.2026","148.5604","149.9699","152.3749","154.8371","156.962","158.4579","160.62","162.4971","164.0857","165.8344","167.6909","169.3132","171.7554","174.3079","177.3189","179.7701",""
"Q:Quarterly","4T:Emerging market economies (aggregate)","N:Nominal","771:Year-on-year changes, in per cent",,,,"Q:4T:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8383","2.7765","1.2852","1.8573","4.5451","8.7112","10.307","9.8212","8.8696","6.1097","6.1765","5.6368","5.7249","7.2442","6.3445","6.4603","7.3362","6.938","7.3503","8.4043","7.7663","7.79","7.1418","5.0268","3.8383","3.0616","2.2962","2.9071","3.091","3.1418","4.4967","5.0586","6.032","5.9401","5.7693","5.1916","4.564","4.578","4.3194","5.1864","5.6553","5.6598","5.4111","4.9471","4.5385","4.6552","4.4023","4.1946","4.6742","5.1096","5.7415","6.1761",""
"Q:Quarterly","4T:Emerging market economies (aggregate)","R:Real","628:Index, 2010 = 100",,,,"Q:4T:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.2311","95.7115","96.0454","96.1817","95.6415","94.5251","94.9323","96.1529","97.2021","98.5252","100.1393","100.9238","100.4118","98.8142","100.1608","100.3456","100.6609","101.3005","102.2876","102.7221","103.9916","104.3497","105.9286","106.8799","107.3177","108.0607","108.8787","107.9807","107.5678","107.1916","107.1063","106.9372","106.7711","106.559","108.1012","108.7313","109.71","109.5794","111.2535","111.3107","111.2847","111.2668","112.6557","113.1708","113.7785","114.153","114.7495","114.9579","114.3891","114.2679","116.1155","116.148","116.9393","117.233","118.4343","118.954",""
"Q:Quarterly","4T:Emerging market economies (aggregate)","R:Real","771:Year-on-year changes, in per cent",,,,"Q:4T:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.6127","-1.2396","-1.1589","-0.0299","1.6317","4.2318","5.485","4.9618","3.3021","0.2933","0.0215","-0.5729","0.2481","2.5161","2.1234","2.3683","3.3088","3.0101","3.5596","4.0476","3.1984","3.5563","2.785","1.0299","0.233","-0.8043","-1.6279","-0.9664","-0.7406","-0.5902","0.9289","1.6777","2.7525","2.8345","2.9161","2.3723","1.4353","1.5399","1.2604","1.6711","2.2409","2.5939","1.8586","1.5791","0.5367","0.1007","1.1904","1.0352","2.2294","2.5949","1.997","2.4159",""
"Q:Quarterly","5R:Advanced economies","N:Nominal","628:Index, 2010 = 100",,,,"Q:5R:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.3122","108.7343","106.9518","104.4809","101.0488","98.7489","98.4569","99.2719","99.7035","100.0465","100.3934","99.9858","99.5742","99.1865","99.3002","99.7102","99.1049","99.5181","100.5208","101.2842","101.9263","102.7305","104.3689","105.9452","106.6944","107.5833","108.6974","109.8686","110.3746","111.5292","112.9766","114.4896","115.2267","116.7258","118.5078","120.1301","121.1557","122.9646","124.6824","126.3787","127.3046","129.0132","130.3948","131.7146","132.2145","133.1425","134.4124","135.7454","136.9151","138.6751","140.0201","142.7653","146.1668","150.4099","156.0186","161.4156",""
"Q:Quarterly","5R:Advanced economies","N:Nominal","771:Year-on-year changes, in per cent",,,,"Q:5R:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.3974","-9.1833","-7.9427","-4.9856","-1.3313","1.314","1.9669","0.7191","-0.1297","-0.8596","-1.0889","-0.2756","-0.4713","0.3343","1.2292","1.5786","2.8469","3.228","3.8282","4.6019","4.678","4.7238","4.1473","3.7032","3.4493","3.6678","3.9368","4.2059","4.396","4.6594","4.8959","4.9266","5.1455","5.3448","5.2103","5.2015","5.0752","4.919","4.5816","4.2222","3.8568","3.2007","3.0811","3.0603","3.5553","4.1554","4.172","5.1714","6.7573","8.4621","11.4259","13.0636",""
"Q:Quarterly","5R:Advanced economies","R:Real","628:Index, 2010 = 100",,,,"Q:5R:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.355","111.9071","108.1538","104.7886","102.7212","101.0114","99.8823","100.4962","100.6559","100.736","100.3185","99.9463","98.9992","97.8437","96.5676","96.8348","95.9335","95.8774","96.0011","96.7222","96.9902","97.5484","98.4632","99.7259","100.3399","100.9358","100.8208","101.9241","102.7351","104.408","104.5184","105.9328","106.8263","108.6418","109.1149","110.4483","110.9902","112.2832","112.9679","114.2906","114.6451","115.7381","115.7435","116.4955","116.8086","117.7573","117.4611","118.4854","119.2238","120.773","122.036","123.8921","126.7352","129.3951","132.1053","135.2374",""
"Q:Quarterly","5R:Advanced economies","R:Real","771:Year-on-year changes, in per cent",,,,"Q:5R:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.1734","-9.7364","-7.6479","-4.0962","-2.0106","-0.2726","0.4367","-0.5472","-1.6459","-2.8712","-3.739","-3.1132","-3.0967","-2.0096","-0.5866","-0.1163","1.1015","1.7429","2.5647","3.1055","3.4536","3.4725","2.3944","2.2042","2.3871","3.44","3.6675","3.933","3.9823","4.0551","4.3978","4.2626","3.8978","3.3517","3.5311","3.4788","3.293","3.077","2.457","1.9292","1.8871","1.7446","1.484","1.7081","2.0677","2.5609","3.8948","4.5632","6.3003","7.1391","8.2511","9.1574",""
"Q:Quarterly","AE:United Arab Emirates","N:Nominal","628:Index, 2010 = 100",,,,"Q:AE:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.4106","56.8865","55.8381","57.8269","65.2633","67.8358","69.6949","71.1973","73.6401","74.9264","75.8667","76.2126","81.6818","85.0434","94.1227","91.788","101.343","108.1957","118.5614","130.7753","142.2974","151.366","148.5773","134.1476","122.5066","115.2863","112.2707","110.7574","104.3586","101.2133","98.3165","96.1115","97.4951","97.387","99.365","102.1645","104.2505","110.1738","114.5945","120.0746","120.9717","128.4081","139.3466","150.2418","166.8657","173.7725","172.7673","169.5463","161.3208","155.8948","154.0141","151.6146","151.8902","152.3171","151.3768","150.8688","149.7555","150.7956","147.6112","145.0987","141.6458","140.1511","135.843","132.1814","131.2655","127.1786","125.6921","124.1812","121.2304","118.1609","116.0976","116.1886","117.016","120.6848","125.1569","127.5702"
"Q:Quarterly","AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent",,,,"Q:AE:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7319","19.2476","24.816","23.1214","12.8354","10.4526","8.8555","7.0442","10.9203","13.5026","24.0633","20.4368","24.0705","27.2241","25.9647","42.4754","40.4117","39.9002","25.3168","2.5787","-13.9081","-23.8361","-24.4362","-17.4362","-14.8139","-12.207","-12.4291","-13.2234","-6.5768","-3.7804","1.0665","6.2979","6.929","13.1299","15.3268","17.5306","16.0394","16.5505","21.5997","25.1237","37.9378","35.3283","23.9839","12.849","-3.323","-10.288","-10.8546","-10.5763","-5.8459","-2.2949","-1.7124","-0.4919","-1.4054","-0.9989","-2.4876","-3.8246","-5.4153","-7.0589","-7.9724","-8.9024","-7.3284","-9.2561","-7.4725","-6.0524","-7.6449","-7.0906","-7.6333","-6.4362","-3.4764","2.136","7.8032","9.7958"
