Symbol,Description,
EURUSD=X,EUR/USD,
EUR/USD,,0
JPY=X,USD/JPY,
USD/JPY,,0
GBPUSD=X,GBP/USD,
GBP/USD,,0
AUDUSD=X,AUD/USD,
AUD/USD,,0
NZDUSD=X,NZD/USD,
NZD/USD,,0
EURJPY=X,EUR/JPY,
EUR/JPY,,0
GBPJPY=X,GBP/JPY,
GBP/JPY,,0
EURGBP=X,EUR/GBP,
EUR/GBP,,0
EURCAD=X,EUR/CAD,
EUR/CAD,,0
EURSEK=X,EUR/SEK,
EUR/SEK,,0
EURCHF=X,EUR/CHF,
EUR/CHF,,0
EURHUF=X,EUR/HUF,
EUR/HUF,,0
EURJPY=X,EUR/JPY,
EUR/JPY,,0
CNY=X,USD/CNY,
USD/CNY,,0
HKD=X,USD/HKD,
USD/HKD,,0
SGD=X,USD/SGD,
USD/SGD,,0
INR=X,USD/INR,
USD/INR,,0
MXN=X,USD/MXN,
USD/MXN,,0
PHP=X,USD/PHP,
USD/PHP,,0
IDR=X,USD/IDR,
USD/IDR,,0
THB=X,USD/THB,
USD/THB,,0
MYR=X,USD/MYR,
USD/MYR,,0
ZAR=X,USD/ZAR,
USD/ZAR,,0
RUB=X,USD/RUB,
USD/RUB,,0
,,
