Country,ISO2,ISO3,Adoption
Austria,AT,AUT,01.01.1999
Belgium,BE,BEL,01.01.1999
Cyprus,CY,CYP,01.01.2008
Estonia,EE,EST,01.01.2011
Finland,FI,FIN,01.01.1999
France,FR,FRA,01.01.1999
Germany,DE,DEU,01.01.2000
Greece,GR,GRC,01.01.2002
"Ireland, Republic of (EIRE)",IE,IRL,01.01.1999
Italy,IT,ITA,01.01.1999
Latvia,LV,LVA,01.01.2014
Lithuania,LT,LTU,01.01.2015
Luxembourg,LU,LUX,01.01.1999
Malta,MT,MLT,01.01.2008
Portugal,PT,PRT,01.01.1999
Slovakia,SK,SVK,01.01.2009
Slovenia,SI,SVN,01.01.2007
Spain,ES,ESP,01.01.1999
Netherlands,NL,NLD,01.01.1999
