Symbol,Name
ES=F,E-Mini S&P 500 Jun 22
YM=F,Mini Dow Jones Indus.-$5 Jun 22
NQ=F,Nasdaq 100 Jun 22
RTY=F,E-mini Russell 2000 Index Futur
ZB=F,"U.S. Treasury Bond Futures,Jun-"
ZN=F,"10-Year T-Note Futures,Jun-2022"
ZF=F,Five-Year US Treasury Note Futu
ZT=F,"2-Year T-Note Futures,Jun-2022"
GC=F,Gold
MGC=F,"Micro Gold Futures,Jun-2022"
SI=F,Silver
SIL=F,"Micro Silver Futures,Jul-2022"
PL=F,Platinum Jul 22
HG=F,Copper Jul 22
PA=F,Palladium Jun 22
CL=F,Crude Oil
HO=F,Heating Oil Jun 22
NG=F,Natural Gas Jun 22
RB=F,RBOB Gasoline Jun 22
BZ=F,Brent Crude Oil Last Day Financ
B0=F,Mont Belvieu LDH Propane (OPIS)
ZC=F,"Corn Futures,Jul-2022"
ZO=F,"Oat Futures,Jul-2022"
KE=F,"KC HRW Wheat Futures,Jul-2022"
ZR=F,"Rough Rice Futures,Jul-2022"
ZM=F,"Soybean Meal Futures,Jul-2022"
ZL=F,"Soybean Oil Futures,Jul-2022"
ZS=F,"Soybean Futures,Jul-2022"
GF=F,"Feeder Cattle Futures,Aug-2022"
HE=F,"Lean Hogs Futures,Jun-2022"
LE=F,"Live Cattle Futures,Jun-2022"
CC=F,Cocoa Jul 22
KC=F,Coffee Jul 22
CT=F,Cotton Jul 22
LBS=F,Random Length Lumber Futures
OJ=F,Orange Juice Jul 22
SB=F,Sugar #11 Jul 22
